,DATE_TIME,REPLY_SIZE
10379,2015-12-22 19:26:47,4726
10380,2015-12-22 19:26:47,4320
10381,2015-12-22 19:26:47,5126
10382,2015-12-22 19:26:47,4451
10383,2015-12-22 19:26:47,239
10384,2015-12-22 19:26:47,4084
10385,2015-12-22 19:26:47,4758
10386,2015-12-22 19:26:47,4264
10387,2015-12-22 19:26:47,4265
10388,2015-12-22 19:26:47,5062
10389,2015-12-22 19:26:47,5095
10390,2015-12-22 19:26:47,5840
10391,2015-12-22 19:26:47,3875
10392,2015-12-22 19:26:48,3830
10393,2015-12-22 19:26:48,174
10394,2015-12-22 19:26:48,4064
10395,2015-12-22 19:26:48,4268
10396,2015-12-22 19:26:48,3208
10397,2015-12-22 19:26:48,255
10398,2015-12-22 19:26:48,248
10399,2015-12-22 19:26:48,211
10400,2015-12-22 19:26:48,155
10401,2015-12-22 19:26:48,237
10402,2015-12-22 19:26:50,64304
10403,2015-12-22 19:26:50,55953
10404,2015-12-22 19:26:50,70273
10405,2015-12-22 19:26:54,51898
10406,2015-12-22 19:26:57,49787
10407,2015-12-22 19:27:00,59876
10408,2015-12-22 19:27:02,44751
10409,2015-12-22 19:27:09,114821
10410,2015-12-22 19:27:09,86204
10411,2015-12-22 19:27:09,98347
10412,2015-12-22 19:27:16,15436
10413,2015-12-22 19:27:16,239
10414,2015-12-22 19:27:16,4197
10415,2015-12-22 19:27:16,3870
10416,2015-12-22 19:27:16,4952
10417,2015-12-22 19:27:16,3794
10418,2015-12-22 19:27:16,239
10419,2015-12-22 19:27:19,81616
10420,2015-12-22 19:27:19,107094
10421,2015-12-22 19:27:19,54132
10422,2015-12-22 19:33:18,10439
10423,2015-12-22 19:33:19,10439
10424,2015-12-22 19:33:39,235
10425,2015-12-22 19:39:12,4263
10426,2015-12-22 19:39:58,4494
10427,2015-12-22 20:17:34,10439
10428,2015-12-22 20:17:35,1725
10429,2015-12-22 20:17:35,1963
10430,2015-12-22 20:17:35,10004
10431,2015-12-22 20:17:35,239
10432,2015-12-22 20:17:35,1801
10433,2015-12-22 20:17:35,1457
10434,2015-12-22 20:17:35,3465
10435,2015-12-22 20:17:36,4890
10436,2015-12-22 20:17:38,33472
10437,2015-12-22 20:17:39,74434
10438,2015-12-22 20:19:07,4263
10439,2015-12-22 20:19:07,4494
10440,2015-12-22 20:55:25,4263
10441,2015-12-22 20:55:25,4494
10442,2015-12-22 21:12:41,304
10443,2015-12-22 21:24:51,4263
10444,2015-12-22 21:24:54,4494
10445,2015-12-22 21:35:49,10479
10446,2015-12-22 21:36:45,10479
10447,2015-12-22 22:01:07,4263
10448,2015-12-22 22:01:07,4494
10449,2015-12-22 22:01:07,4263
10450,2015-12-22 22:01:37,4263
10451,2015-12-22 22:01:39,4494
10452,2015-12-22 22:13:49,232
10453,2015-12-22 22:17:03,10439
10454,2015-12-22 22:35:01,10479
10455,2015-12-22 22:35:55,10479
10456,2015-12-22 22:39:45,4263
10457,2015-12-22 22:39:46,4494
10458,2015-12-22 23:01:24,4263
10459,2015-12-22 23:01:24,4494
10460,2015-12-22 23:01:25,4263
10461,2015-12-22 23:11:49,4263
10462,2015-12-22 23:11:49,4494
10463,2015-12-22 23:35:42,304
10464,2015-12-22 23:35:43,8198
10465,2015-12-22 23:47:51,4263
10466,2015-12-22 23:47:52,4494
10467,2015-12-23 00:06:35,4263
10468,2015-12-23 00:06:35,4494
10469,2015-12-23 00:06:36,4263
10470,2015-12-23 00:22:49,4263
